1404341626,2016-03-11,40,110,110,956755,110,P
1404341717,2016-03-20,51,110,110,928913,110,P
1404345012,2016-03-20,98,110,110,957801,110,P
1403749991,2016-03-01,70,107,107,928202,420,P
1403750002,2016-03-01,71,107,107,928202,420,P
1405190541,2016-03-09,21,112,112,533310,0,S
1405089295,2016-03-01,40,46,46,952476,46,P
1405924172,2016-03-10,46,105,105,940503,105,P
1405512982,2016-03-03,31,14,14,927706,401,P
1405545100,2016-03-01,18,17,17,926583,406,P
1405546736,2016-03-08,48,13,13,925250,401,P
1405546803,2016-03-09,46,14,14,925250,401,P
1405546967,2016-03-04,19,9,9,923739,401,P
1405547390,2016-03-05,19,1,1,907102,406,P
1405547443,2016-03-05,79,5,5,907102,406,P
1405636415,2016-03-08,67,114,114,958839,114,P
1405677661,2016-03-02,50,100,100,951707,100,P
1405366655,2016-03-08,21,90,90,515332,0,S
1405695936,2016-03-07,98,114,114,956746,114,P
1406514883,2016-03-08,46,32,32,959000,32,P
1406546240,2016-03-11,40,46,46,959372,46,P
1406765946,2016-03-10,40,78,78,949208,78,P
1406856551,2016-03-10,46,61,61,929395,61,P
1406864377,2016-03-02,40,66,66,956747,66,P
1406873690,2016-03-07,20,66,66,931153,66,P
1406880530,2016-03-06,40,62,62,932804,62,P
1407264280,2016-03-08,21,76,76,897991,0,S
1407267218,2016-03-15,21,76,76,667980,0,S
1407950332,2016-03-14,21,109,109,937267,109,P
1407950344,2016-03-14,21,109,109,937267,109,P
1407950368,2016-03-14,21,109,109,937267,109,P
1407966297,2016-03-10,46,115,115,881462,115,P
1407321420,2016-03-01,21,62,62,901992,0,S
1407851391,2016-03-10,67,25,25,943269,25,P
1407332144,2016-03-05,21,61,61,907328,0,S
1407874172,2016-03-16,19,32,32,956453,32,P
1409237588,2016-03-11,46,61,61,929395,61,P
1409237631,2016-03-11,46,61,61,929395,61,P
1408310843,2016-03-11,40,49,49,907502,48,P
1408310867,2016-03-11,40,49,49,907502,49,P
1408310880,2016-03-14,40,49,49,907502,49,P
1409285686,2016-03-16,40,72,72,930568,72,P
1408432523,2016-03-15,21,24,24,934560,24,P
1408432547,2016-03-15,21,24,24,934560,24,P
1408039710,2016-03-22,24,112,112,949130,112,P
1408039734,2016-03-22,71,112,112,949130,112,P
1408160900,2016-03-01,46,43,43,939204,43,P
1409140593,2016-03-03,46,70,70,916139,70,P
1388196815,2016-03-10,40,66,66,934263,66,P
1388227034,2016-03-09,19,66,66,931465,66,P
1388230392,2016-03-13,74,66,66,932984,66,P
1388230409,2016-03-13,70,66,66,932984,66,P
1376049892,2016-03-04,19,44,44,953359,44,P
1376049922,2016-03-06,46,44,44,953359,44,P
1377260070,2016-03-04,98,46,46,950562,46,P
1377322920,2016-03-08,20,44,44,932819,44,P
1377375493,2016-03-07,98,47,47,955908,47,P
1377375511,2016-03-19,27,47,47,955908,47,P
1377382102,2016-03-18,98,47,47,955828,47,P
1377441647,2016-03-05,67,105,105,934897,105,P
1377491330,2016-03-07,14,105,105,943360,105,P
1377568696,2016-03-15,46,28,28,953103,28,P
1377568702,2016-03-16,46,28,28,953107,28,P
1378284847,2016-03-11,16,19,19,748191,977,X
1378284859,2016-03-11,20,19,19,748191,977,X
1378284872,2016-03-19,20,19,19,748191,977,X
1378299942,2016-03-18,37,19,19,782072,977,X
1378301687,2016-03-08,38,19,19,828296,977,R
1378303076,2016-03-01,37,19,19,729429,977,X
1378303088,2016-03-01,38,19,19,729429,977,X
1378303222,2016-03-10,38,19,19,944533,977,X
1378303234,2016-03-10,38,19,19,944533,977,X
1378303260,2016-03-19,38,19,19,944533,977,X
1378304202,2016-03-12,40,19,19,742465,977,X
1378304457,2016-03-14,38,19,19,521975,977,X
1378304494,2016-03-17,37,19,19,521975,977,X
1378307203,2016-03-12,20,19,19,332215,974,X
1378307215,2016-03-12,20,19,19,332215,977,X
1378307227,2016-03-12,20,19,19,332215,977,X
1378307239,2016-03-05,17,19,19,960853,977,X
1378307240,2016-03-07,20,19,19,332215,977,X
1378307288,2016-03-13,20,19,19,725004,977,X
1378307290,2016-03-13,20,19,19,725004,977,X
1378307446,2016-03-03,17,19,19,589219,977,X
1378307689,2016-03-08,20,19,19,569012,977,R
1378307690,2016-03-10,20,19,19,569012,977,R
1378307707,2016-03-12,20,19,19,567012,977,X
1378308074,2016-03-07,38,19,19,922660,977,X
1378308086,2016-03-07,38,19,19,922660,977,X
1378308098,2016-03-07,38,19,19,922660,977,X
1378308657,2016-03-05,14,19,19,582095,977,X
1378308682,2016-03-09,14,19,19,582095,977,R
