8150515410,2016-03-29,14,90,90,1225P
5090872510,2016-03-19,7,-1,0,1034A
4617740910,2016-03-23,36,-1,0,0833A
8270009570,2016-03-15,21,70,70,0922A
8037247077,2016-03-08,20,66,66,0300P
7035965762,2016-03-22,38,110,110,0153P
7407921040,2016-03-21,70,46,46,1215P
7177999127,2016-03-10,71,122,122,0932A
8037177518,2016-03-15,38,70,70,0104P
7623769443,2016-03-23,46,19,19,1246P
7084234147,2016-03-04,20,67,67,1247P
8186519166,2016-03-16,46,61,61,1213P
7779584010,2016-03-01,19,14,14,0934A
4617236028,2016-03-10,36,-1,0,0246P
8101000525,2016-03-07,35,18,18,1057A
7031374297,2016-03-17,91,45,45,0235P
7487591967,2016-03-15,38,94,94,0222P
8025299326,2016-03-16,38,114,114,0921A
7057099230,2016-03-23,84,18,18,0520P
1409317481,2016-03-31,47,17,17,0840A
4618037829,2016-03-30,36,-1,0,0207P
8258010268,2016-03-16,71,103,103,0125P
7497885558,2016-03-09,20,104,104,0631A
7637478907,2016-03-24,17,33,33,1133A
4616832742,2016-03-03,36,-1,0,0934A
8073512051,2016-03-29,37,20,20,0119P
8025172223,2016-03-25,37,115,115,1148A
7980986210,2016-03-07,16,10,10,0321P
8260011323,2016-03-17,38,103,103,0230P
8177526510,2016-03-01,21,62,62,1010A
4616941026,2016-03-04,36,-1,0,0226P
7469873673,2016-03-03,71,103,103,1058A
7494140827,2016-03-03,21,43,43,0910A
8273009488,2016-03-26,38,90,90,0837A
8047599069,2016-03-30,53,24,24,1014A
7969543947,2016-03-25,74,49,49,0951A
7322640767,2016-03-24,46,24,24,0137P
7098681350,2016-03-16,38,112,112,0504P
7931494910,2016-03-09,40,7,7,0716A
7287160717,2016-03-16,20,19,19,1145A
7498290522,2016-03-09,21,68,68,0947A
8034044003,2016-03-18,71,5,5,0816A
1409124861,2016-03-08,20,68,68,1228P
7279575742,2016-03-14,14,1,1,0932A
1380581783,2016-03-10,40,75,75,1155A
7493928216,2016-03-30,14,1,1,1031A
8045685967,2016-03-01,78,104,104,1147P
7614065840,2016-03-30,14,79,79,0710A
7041066368,2016-03-18,70,63,63,1227P
7933892309,2016-03-09,38,6,6,0209P
7896128780,2016-03-09,31,18,18,0725A
7996396851,2016-03-29,21,19,19,1108A
7491156824,2016-03-14,82,13,13,1226P
8042083737,2016-03-16,14,33,33,1208P
7577085730,2016-03-18,40,26,26,0356P
7493843454,2016-03-24,14,14,14,0244P
8214002503,2016-03-01,21,109,109,1107A
8041623840,2016-03-23,16,19,19,1046A
8278000335,2016-03-09,38,90,90,0524P
8093001864,2016-03-08,51,9,9,0200P
7989143227,2016-03-09,38,19,19,0906A
8165013336,2016-03-12,38,68,68,0945A
8263518854,2016-03-03,82,66,66,1019P
7059095391,2016-03-02,14,14,14,0131P
7877908519,2016-03-02,42,10,10,0148P
7495491395,2016-03-29,42,13,13,0559P
7081879690,2016-03-12,70,52,52,1004A
8095006907,2016-03-21,38,17,17,0914A
7068653339,2016-03-05,38,78,78,0603P
8049734249,2016-03-15,69,18,18,0118P
7075832384,2016-03-14,37,20,20,0900A
7280795638,2016-03-18,14,90,90,0218P
8159518031,2016-03-12,38,90,90,0924A
8028438842,2016-03-24,31,13,13,1213P
7982683990,2016-03-02,16,1,1,0808A
5090688801,2016-03-03,7,-1,0,0734P
8165503674,2016-03-17,38,66,66,0213P
7078991965,2016-03-14,38,1,1,1007A
7812374361,2016-03-16,37,103,103,0513P
8068536425,2016-03-27,20,34,34,1258P
4616897608,2016-03-04,36,-1,0,1207P
7556398754,2016-03-01,20,75,75,0252P
4617555500,2016-03-17,36,-1,0,1120A
7156780220,2016-03-10,17,1,1,0248P
4617115900,2016-03-09,36,-1,0,1034A
8197519985,2016-03-22,21,114,114,1200P
4005592867,2016-03-07,5,-1,0,0532P
8139501130,2016-03-16,16,45,45,1042A
1402214455,2016-03-27,67,69,69,0830A
7329185206,2016-03-28,37,115,115,0111P
7411930374,2016-03-08,19,40,40,0550P
7499489103,2016-03-21,20,19,19,1249P
7988790468,2016-03-10,51,24,24,0236P
4617661633,2016-03-21,36,-1,0,0845A
7591257286,2016-03-09,14,18,18,0406P
8257016640,2016-03-19,37,112,112,0512P
8167012013,2016-03-07,37,66,66,0423P
7078211133,2016-03-02,51,1,1,0739A
8048993960,2016-03-09,69,13,13,0311P
8043094007,2016-03-10,40,108,108,0116P
4617784512,2016-03-23,36,-1,0,1228P
7329185644,2016-03-29,19,114,114,0521P
8076512104,2016-03-28,20,19,19,1127A
8025895579,2016-03-07,21,114,114,0952A
7864387706,2016-03-21,42,14,14,0234P
7494619380,2016-03-26,38,71,71,1151A
1400055659,2016-03-09,40,47,47,0742P
8151005877,2016-03-22,20,90,90,0420P
7494669061,2016-03-18,20,45,45,1107P
8049783637,2016-03-24,14,19,19,0331P
7812128908,2016-03-16,38,34,34,0405P
8041092550,2016-03-18,14,13,13,1139P
7661917300,2016-03-12,69,17,17,0949A
5090922640,2016-03-23,7,-1,0,1222P
7807833350,2016-03-11,14,9,9,1040A
7071345715,2016-03-30,21,108,108,0930A
8037175054,2016-03-03,21,71,71,1237P
8037568131,2016-03-07,71,62,62,0544P
1407415049,2016-03-02,48,88,88,1133A
7495181412,2016-03-10,21,42,42,1150A
8040840340,2016-03-21,38,33,33,0954A
7490457592,2016-03-21,14,102,102,0157P
7155585026,2016-03-18,47,14,14,1249P
8260515544,2016-03-01,38,106,106,0425P
8068533862,2016-03-18,20,30,30,0610A
7103489841,2016-03-29,21,109,109,1121A
7034569411,2016-03-16,19,110,110,1106A
7892681000,2016-03-29,47,19,19,0202P
7499174530,2016-03-22,14,14,14,1028A
8039517618,2016-03-17,8,18,18,0706A
8044987551,2016-03-15,21,102,102,0906A
